,0,1,2,3,4,5,6,7,diabetic_retinopathy
20535,103.91394274022386,-100.17674206024104,-60.86080833243205,-20.37458668076169,304.6250705122717,-71.77222663747833,426.9322582219427,-100.63695234621603,1.0
10915,-98.83698088385378,-197.7553691884636,-79.57505255244214,235.80726432018983,149.8488736185601,-71.77222663747833,426.9322582219427,-100.63695234621603,0.0
19143,-73.09917963498555,-203.4852577856535,-8.145263742452372,-87.06934656627465,304.6250705122717,-71.77222663747833,426.9322582219427,-100.63695234621603,1.0
14098,122.16564993012491,-91.5345950224404,267.73191907602416,-86.4153648965279,304.6250705122717,-71.77222663747833,-153.49133289156524,-100.63695234621603,0.0
17444,189.419131766832,-195.4688540253635,-7.649207995937633,-120.42972474044852,304.6250705122717,-71.77222663747833,426.9322582219427,-100.63695234621603,1.0
5473,358.9144998300696,161.43325670947732,409.8018344745913,1142.010563453445,139.53046049231273,-71.77222663747833,426.9322582219427,-100.63695234621603,0.0
1449,-249.36409304499225,-486.5948293087836,523.2392941290935,-235.91554828629555,304.6250705122717,-71.77222663747833,-153.49133289156524,-100.63695234621603,0.0
2021,-92.64753244303908,159.59292108159238,-128.12767725293435,-115.27052828060278,-252.56923830508995,-71.77222663747833,-153.49133289156524,-100.63695234621603,0.0
21651,41.37271428439479,-253.87781983800545,124.93259817945892,-211.4189288110609,304.6250705122717,-71.77222663747833,426.9322582219427,-100.63695234621603,1.0
15397,-49.97101533547671,284.69071339159655,-136.8599538340528,120.44279337584688,304.6250705122717,-71.77222663747833,-153.49133289156524,-100.63695234621603,0.0
21444,-1.223352222879365,-178.6156480202558,121.9473326286098,-176.06117360169546,304.6250705122717,-71.77222663747833,426.9322582219427,-100.63695234621603,1.0
21144,133.83588262090018,-369.5836742585004,155.96056651721997,-209.43837428406547,304.6250705122717,-71.77222663747833,426.9322582219427,-100.63695234621603,1.0
1925,-240.84754208012689,-60.29187301620308,-184.4993286763164,-202.3160837319649,191.12252612354996,991.0571966911746,426.9322582219427,618.5998765359967,1.0
24078,395.8005247575807,376.1370531393612,225.4122154906794,-23.941685260855124,-473.7239973684637,991.0571966911746,-153.49133289156524,618.5998765359967,1.0
16377,527.7216891409462,76.93970008138288,772.4022808355264,679.1102953082526,152.9640061487422,84.2677278053325,426.9322582219427,618.5998765359967,1.0
22720,384.0692552721634,218.5023872945929,400.7259173488912,682.3468932418791,-292.4261462779816,-71.77222663747833,426.9322582219427,618.5998765359967,1.0
19489,-59.0394514721302,186.7147002880856,-15.507836888630957,-34.21973009853209,304.6250705122717,-71.77222663747833,426.9322582219427,-100.63695234621603,1.0
9304,-40.079781458259305,-334.3611810995498,204.79579914007343,-193.4973452983404,304.6250705122717,-71.77222663747833,426.9322582219427,-100.63695234621603,0.0
2414,-127.35232155334508,26.28430259865859,-230.00929719848045,16.577035070001834,-108.1114545376258,-71.77222663747833,426.9322582219427,618.5998765359967,1.0
15575,-97.62154757515113,-44.3553183364975,-4.105762075085668,-117.15361741474293,-108.1114545376258,-71.77222663747833,-153.49133289156524,-100.63695234621603,0.0
2925,-101.3945970113837,43.52750225929388,-16.82108274732476,40.94371457859828,-180.34034642135785,459.64248502684814,-153.49133289156524,618.5998765359967,0.0
23672,151.7469623321745,93.66896077280228,117.80818387242542,307.2400223646914,304.6250705122717,-71.77222663747833,426.9322582219427,-100.63695234621603,1.0
351,528.71356094668,336.63952474396746,37.77001054949339,-43.67184056113911,-448.6190877037913,-71.77222663747833,-153.49133289156524,-100.63695234621603,0.0
20938,-227.1422211211492,-311.43031140137526,-83.1474910231295,-184.43399054405057,142.76699546819177,459.64248502684814,426.9322582219427,618.5998765359967,1.0
26187,486.5947837694627,106.5856904947083,461.0142625899432,337.3619638049184,-220.18120757957135,459.64248502684814,426.9322582219427,618.5998765359967,1.0
27714,-197.3715463469649,-69.34964684476725,-129.86426758983896,-9.47150032283795,24.68722067624716,991.0571966911746,426.9322582219427,618.5998765359967,1.0
12304,-231.0773477491105,-337.166417229235,-10.483646385096666,-212.6373294782001,87.93839486107552,-71.77222663747833,426.9322582219427,-100.63695234621603,0.0
25098,119.12292475825058,-384.104995675485,227.9958990606976,-172.8555278272922,-139.06669391636805,-71.77222663747833,426.9322582219427,-100.63695234621603,1.0
13962,108.13079982746729,125.78214865634268,-5.5938019946195325,-41.35979757241442,304.6250705122717,-71.77222663747833,-153.49133289156524,-100.63695234621603,0.0
11310,-225.64458035317892,-23.46281004935229,-140.43632636513183,-37.51805559413825,149.8488736185601,-71.77222663747833,426.9322582219427,-100.63695234621603,0.0
