image_id,Contrast Feature,Dissimilarity Feature,Homogeneity Feature,Energy Feature,Correlation Feature,ASM Feature,Mean Feature,Variance Feature,Standard Deviation Feature,RMS Feature
img00001,456.26995596648055,6.537892967849102,0.6273501857098386,0.4758302282893731,0.9348145547630996,0.22643649969164292,1.5258789062499993e-05,3.4549139542008245e-06,0.0018587398834158653,0.0018588025136749941
img00002,450.5012609633552,6.705423484957857,0.6066367067201698,0.4376552266501669,0.9309810174756039,0.19156766333753164,1.5258789062500003e-05,2.922857735418704e-06,0.0017096367261552098,0.0017097048184006377
img00003,646.491137948824,9.084309204994097,0.5859189969528877,0.4816232730802484,0.9168768718948086,0.2319813354369566,1.5258789062499998e-05,3.539521433223637e-06,0.0018813615902382075,0.0018814234674488603
img00004,509.6223238358308,8.14720182742252,0.5833010016023847,0.4719256261787556,0.9221238099618265,0.22273799187142687,1.5258789062500003e-05,3.3984792035254533e-06,0.0018434964614898108,0.0018435596096055878
img00005,489.6048809653043,7.1092097690797065,0.6369059225460794,0.5199450409778886,0.9268913208514178,0.2703608459351284,1.52587890625e-05,4.12514628823993e-06,0.0020310456145148314,0.002031102931631872
img00006,439.9906616446,6.57938710471975,0.6513474182117822,0.5387513306685444,0.9316611511185182,0.29027357091260875,1.5258789062499998e-05,4.428990358330789e-06,0.002104516656700723,0.0021045719728663213
img00007,731.9310313642018,10.463155156671206,0.5148404541080198,0.3787389969922292,0.9185176831180442,0.14346472540418673,1.5258789062500007e-05,2.188865152206153e-06,0.001479481379472602,0.001479560063954758
img00008,712.7189110258632,10.393334775087144,0.5097802203070338,0.36088785031724063,0.9211634754189452,0.13025751702044475,1.52587890625e-05,1.9873391453741823e-06,0.0014097301675761154,0.0014098127450189394
img00009,733.8895792334087,9.80061660479208,0.5694613171496142,0.46824262342121653,0.910151369165016,0.21927843005189154,1.5258789062499997e-05,3.3456904794725197e-06,0.0018291228716170271,0.0018291865159453184
img00010,604.8492971754023,8.79221816729176,0.5502771438505712,0.4259440107211999,0.9164539600999673,0.1814558618901893,1.5258789062499998e-05,2.768563890091332e-06,0.0016639002043666357,0.0016639701682226713
img00011,634.4880484369592,8.781332990917582,0.5929642724740134,0.4727969475465388,0.9138158728864649,0.22356620895321452,1.52587890625e-05,3.4111167932743443e-06,0.00184692089524006,0.0018469839262749417
img00012,623.1761693970293,9.349233573025243,0.5425154015365323,0.4063356528349893,0.907948561930626,0.16514124090822957,1.5258789062500003e-05,2.519622529892807e-06,0.0015873318902777727,0.0015874052288361849
img00013,597.870331182763,9.101941260573405,0.5522643195866352,0.4382495496217462,0.9298871254645136,0.19208069991971044,1.5258789062500003e-05,2.930686052406501e-06,0.001711924663180743,0.0017119926644265028
img00014,650.2599905085427,9.665251585929534,0.5741878957633744,0.4775901065634427,0.9237566185159234,0.22811655785492352,1.5258789062499993e-05,3.4805496073257253e-06,0.0018656231150277179,0.0018656855142197407
img00015,474.62383818728836,7.10456972678827,0.6345723166403505,0.5230243697802017,0.9314946096793457,0.27357343065466283,1.52587890625e-05,4.174166440820757e-06,0.0020430776883958077,0.0020431346679708634
img00016,415.14252829444337,6.392818927816593,0.6327606647986616,0.49960842834927455,0.9412176953103835,0.24962558876897512,1.5258789062499998e-05,3.8087513729839724e-06,0.0019516022578855488,0.0019516619081253869
img00017,917.8425573247868,11.193005920199477,0.5528209582233161,0.4323971795586561,0.9056381646159906,0.18699344064428292,1.5258789062499998e-05,2.8530606362165196e-06,0.0016891005405885464,0.0016891694606699988
img00018,979.5851024546893,12.049914546088752,0.5596262618824559,0.45478199758304805,0.8913080782533059,0.20685662273489336,1.52587890625e-05,3.1561487418467287e-06,0.0017765553022202063,0.0017766208296905628
img00019,493.9112041643021,7.624883728614302,0.5684142114271566,0.40949123376446583,0.930060987906493,0.16770078535065008,1.5258789062500003e-05,2.5586780786357415e-06,0.0015995868462311577,0.0015996596229446427
img00020,461.6415777285524,7.372518953047218,0.562451055893738,0.38653895929403537,0.9359154646325463,0.14942639291990686,1.5258789062500003e-05,2.279832979289792e-06,0.0015099115799575126,0.0015099886787434686
img00021,840.6520703726312,10.799487501802759,0.5451260146265919,0.43686086612495584,0.9090275613600246,0.19088096432151233,1.52587890625e-05,2.91237953998304e-06,0.0017065695239230777,0.0017066377385452055
img00022,923.8772008963692,11.810916714725629,0.5423111286396576,0.4490717269893545,0.900474060956487,0.20170139455748987,1.5258789062499998e-05,3.0774862025189812e-06,0.0017542765467619356,0.0017543429063790908
img00023,892.4167550942487,11.048577139802406,0.5405151580991606,0.41911292026533287,0.9089872602480499,0.17568499288509562,1.5258789062499997e-05,2.6805074172350933e-06,0.0016372255242437107,0.0016372966279445966
img00024,961.8485674080374,11.96045904820295,0.5010590693058704,0.36118194008817933,0.9006972436109076,0.13048407385202054,1.5258789062499998e-05,1.9907961282781152e-06,0.0014109557499362322,0.0014110382556549515
img00025,710.6224157776345,9.545471453287652,0.5552987752763571,0.42055396372976017,0.9137082675415523,0.1768938049249611,1.52587890625e-05,2.6989524251676245e-06,0.0016428488747196512,0.0016429197350483317
img00026,760.6238160954224,9.833148984165208,0.5615689227109222,0.43710181674569565,0.9103749531797529,0.19108801505573622,1.5258789062500003e-05,2.915538883461888e-06,0.0017074949146225554,0.0017075630922766928
img00027,569.242653486674,8.152352490628957,0.5478262105216793,0.40164013578441626,0.9355787888890899,0.1613325701569816,1.52587890625e-05,2.4615068262911473e-06,0.0015689189992766188,0.0015689931984985792
img00028,615.8442592993445,8.562607410611692,0.5622407385497094,0.42732559932338693,0.9318717757217753,0.18262814451591097,1.52587890625e-05,2.786451503398769e-06,0.0016692667562132688,0.00166933649515082
img00029,751.6750595625007,10.448278907151934,0.5517010820619017,0.42973393186681186,0.9031667771110092,0.18469564057523302,1.52587890625e-05,2.817998989654685e-06,0.0016786896644867641,0.0016787590119782946
