Contrast Feature,Dissimilarity Feature,Homogeneity Feature,Energy Feature,Correlation Feature,ASM Feature,Mean Feature,Variance Feature,Standard Deviation Feature,RMS Feature,dr_class
108.4456305,2.102595989,0.910112599,0.894729357,0.948535974,0.80055701,39.18594412,106.6935559,10.32925728,10.9307297,0
101.4065513,2.301499552,0.85041081,0.811420213,0.975930187,0.658414425,36.22560156,179.1435586,13.38445212,11.75641897,0
60.76696286,1.772938973,0.842706484,0.781799503,0.981244335,0.611217679,32.7395678,81.29653263,9.016458985,11.0023725,0
106.4944336,2.436790201,0.837073746,0.793934464,0.979343419,0.63033758,40.97358797,185.4152059,13.61672523,10.55171398,0
40.35823732,1.159654775,0.835199083,0.718386028,0.986555696,0.516085444,30.8929522,34.01643472,5.83236099,9.780166355,0
181.2536658,3.162810156,0.845716595,0.817625923,0.967446662,0.668529023,38.08120033,175.7812945,13.25825382,10.45502057,0
264.956863,4.000000221,0.860119712,0.836782976,0.949388953,0.700238447,40.85634708,186.1284398,13.64288972,10.85532602,0
90.70769674,2.005238157,0.859192013,0.800974728,0.967567618,0.641572838,39.49879585,89.2939037,9.449545158,10.95270774,0
81.77300864,2.065699477,0.852460544,0.81560146,0.97533805,0.665213994,32.95746169,47.942091,6.924022747,10.32861455,0
151.7368903,2.829185027,0.853116117,0.825073002,0.962590973,0.680762798,42.35788748,164.8494194,12.8393699,10.77764074,0
61.84369523,1.5160501,0.863874589,0.803004047,0.974278489,0.644823867,38.92972823,93.81990687,9.686067668,10.61355119,0
113.3000137,2.135386354,0.873206247,0.835407831,0.972951394,0.697919874,37.59242451,165.3734504,12.8597609,10.06015749,0
74.36220989,1.848155571,0.847845148,0.780295576,0.977251106,0.608872774,33.47633859,77.75691467,8.81798813,11.16237275,0
76.66990979,1.979767872,0.829107176,0.764263209,0.978817003,0.584107704,35.14558952,109.7097013,10.47423989,10.56035914,1
126.0773169,2.702193253,0.850830766,0.813363388,0.96962021,0.66157139,35.7158315,123.0388837,11.09228938,10.99221228,0
86.06910993,1.82199654,0.817674902,0.741850621,0.982003201,0.550347081,47.69668737,172.2930612,13.12604515,10.68970466,0
192.1692309,3.053949206,0.895668912,0.889233087,0.949846916,0.790750819,36.11216619,136.1965469,11.67032762,10.59993438,0
157.3909263,2.721782846,0.876829058,0.854294158,0.961086624,0.729835857,36.16531919,127.4627446,11.28993997,10.61884046,1
63.50434541,1.542349941,0.83919439,0.763197379,0.979379334,0.582472998,37.7563287,115.6558651,10.75434169,10.86890059,0
134.2349465,2.539240991,0.861469256,0.833394566,0.96307973,0.694562082,36.91550675,102.1805148,10.1084378,10.64235463,0
144.7369718,2.884655533,0.850682013,0.827373632,0.967112072,0.684559564,36.75009717,183.5185323,13.54690121,10.86354704,0
93.96736433,2.315543231,0.841336402,0.797479899,0.971381601,0.635985715,33.17832417,90.81350178,9.529611838,10.86780218,0
176.388147,2.748451649,0.889124795,0.867334954,0.959493565,0.75228635,37.17839088,140.4610222,11.8516253,10.48406695,0
161.7314847,3.066253756,0.856373614,0.815672801,0.965966666,0.665339084,36.468954,126.0386824,11.22669508,10.8823804,0
143.744166,2.709148917,0.851895382,0.817891156,0.96953934,0.66895599,43.66944024,158.6776289,12.59673088,10.97126904,1
86.05086216,2.260494116,0.825267405,0.773697116,0.982266226,0.598613405,35.80961545,184.1079533,13.5686386,10.63518479,0
32.29350383,1.059225777,0.816935963,0.663849511,0.988353049,0.440706677,35.33097907,102.6896681,10.13359108,11.99355987,0
76.62035504,1.854767935,0.841900459,0.786085514,0.979056563,0.617938123,37.50740998,89.37014437,9.45357839,10.37136632,0
75.09422398,1.87932347,0.844945261,0.789942153,0.982580524,0.624015606,34.01542037,106.12234,10.30156978,11.51632604,1
57.14723164,1.690748718,0.86067354,0.792679913,0.984554888,0.628347838,34.16381932,117.7223247,10.84999192,11.29657255,0
47.96953966,1.342089657,0.861485384,0.787574984,0.979824125,0.620281663,38.1277447,97.00189003,9.848953753,11.21295245,1
62.09796328,1.748378545,0.840631825,0.780181687,0.978421631,0.608691587,35.499873,101.1161417,10.05565223,10.60447617,0
95.97465638,2.178622762,0.883143157,0.849656856,0.968812919,0.721926281,36.56896803,101.1604383,10.05785456,10.80502216,0
114.5921052,2.37734227,0.876446734,0.855920862,0.966324266,0.732611487,36.20560044,118.6480247,10.89256741,10.79614213,0
119.6504721,2.500407345,0.829657292,0.782143669,0.972018643,0.611764331,36.75620318,135.9486233,11.65970082,10.84441574,1
42.6163047,1.20755789,0.844229365,0.722500753,0.981795931,0.522021227,35.71493213,69.75282379,8.351815598,10.21354335,0
95.69109587,2.343066084,0.844475968,0.797520741,0.974388655,0.636050413,38.6782209,112.8237784,10.62185381,10.43911645,0
159.7919565,2.753843811,0.861286554,0.823053503,0.964973193,0.677435278,42.35054242,223.3778863,14.94583174,10.44828511,0
116.4005098,2.51563237,0.872721101,0.837881386,0.965503355,0.702062426,36.68903863,126.1485375,11.2315866,10.80760093,0
206.0866166,3.212167906,0.877752405,0.853313804,0.957537443,0.728166637,37.9744058,157.7589102,12.56021139,10.67280575,0
94.10694121,2.032065194,0.88554278,0.85221463,0.960295211,0.726289232,37.81116017,79.49391019,8.915935744,10.53429028,0
45.61747004,1.423405122,0.815928178,0.727970308,0.987418612,0.529947435,35.91821219,84.96088883,9.217423112,10.49697345,0
102.8871767,2.156480203,0.896090514,0.879138216,0.955572958,0.772898199,36.93006875,137.2098059,11.71365895,11.28533246,0
176.6254735,2.94198543,0.890707812,0.880550143,0.949449565,0.775385811,37.48437149,183.4913793,13.54589899,10.94500943,0
71.84068969,1.81049077,0.788305024,0.683557877,0.985412171,0.467260702,39.09823304,133.2948256,11.54533783,10.92763675,0
138.5231177,2.681620919,0.872352139,0.853815758,0.970070443,0.729011962,39.04709334,134.2402795,11.58621075,10.63897379,0
161.4154938,2.890761408,0.88032038,0.855078499,0.959872269,0.731175403,38.53270378,160.2681646,12.65970634,10.32605288,0
65.07622207,1.762715462,0.825078292,0.724545698,0.976524305,0.524975365,43.38790218,89.20990488,9.445099516,10.75102004,1
84.8826868,2.050826747,0.820426164,0.759544653,0.982107785,0.576917313,38.34786724,154.6477949,12.43574666,10.64826567,0
