8,91,371,174,-16,-2,-0.2,0.6,2.1,30.8,0,1.3,1.5,0.8,-0.6,-10.7,-15.6,0.4,-0.8,0,-0.1,1.2,0,1,-2.7,0.1,-0.8,0.2,0.6,5.9,0.9,5.1,-0.4,3.9,-0.3,0.9,2.9
6,81,401,149,25,31,-0.6,0.4,1.5,26.5,0,0.1,1.7,-0.3,0.4,-1.5,1.3,0.1,-0.3,-0.3,0.4,0.7,0.2,-0.2,11.7,0.4,0.5,0.8,0.9,3.8,0.5,2.6,-0.4,2.6,-0.5,0.2,2.1
10,138,386,185,96,66,1,0.3,2.5,19.8,0.8,0.7,2.7,0.5,0.2,24.7,26.2,-1,-0.5,0.5,-0.2,1,0.4,0.6,42.7,-0.8,0.3,0.5,0.4,0.3,0.5,2.2,1.3,3.4,0.9,0.3,3.4
1,100,380,179,28,20,0.9,1.1,1.9,45.1,0.1,0.4,1.5,-1,-0.9,-1.5,-9.2,-0.4,-0.7,0.9,0.7,1.2,-0.1,0.3,12.6,1.6,-0.4,-0.5,0.1,4.1,0.1,3.3,0.1,3,0.1,0.4,2.6
7,88,360,177,-16,3,0,0.9,2.3,31.6,0.1,1.9,1.7,1,-0.6,-7.7,-13.4,-0.1,-1.4,-0.1,-0.1,1.1,0.6,1.4,-1.9,0,-0.4,-0.7,-1,4.7,-0.1,4.9,-0.2,2.9,-0.4,-0.1,3.9
14,100,321,174,107,88,0.5,0.9,1.7,7.1,0.1,1.4,4.3,0.7,2.6,66.7,95.8,-0.2,-1.1,0.5,0.4,-0.4,-0.1,1,65.4,0.4,-1.2,0.8,1.6,8.7,0.8,5.9,0.6,3.3,0,0.9,2.2
1,77,377,133,77,65,-0.5,0.2,1,10.5,-0.1,0.5,1.4,0.3,0.6,12.2,15,0.1,-0.4,0.2,-0.3,0.4,-0.2,0.7,17.1,1.3,-0.3,-0.6,-0.5,4.1,0.4,1.9,0,1.3,-0.4,0.4,1
1,78,376,157,67,51,-0.3,0.8,1,13.7,-0.3,0.6,0.7,-0.3,-0.6,11.2,6.9,0.1,-0.6,0.1,0.6,0.7,-0.2,0.2,16.8,0.7,0.2,0.6,0.6,3.8,0.3,1.4,-0.2,0.8,-0.3,0.1,0.5
1,84,354,160,61,66,0.1,0.4,1,11.6,1.2,1.8,2.8,1.4,1.8,5.3,17.9,-0.7,-1.1,-0.5,-0.6,-0.5,1.1,1.6,22.8,0.5,-0.7,-0.5,0.3,6.8,0.9,6.5,0.1,3.8,0.1,0.6,2.1
10,89,383,156,85,71,-0.1,0.4,1.3,13.5,0,1.2,1.2,0.8,0.3,29.8,32,0.1,-0.6,0,-0.1,0.8,-0.2,0.8,30.2,0.1,0.2,0.8,1.1,4,1.1,1.3,-0.5,1,-0.5,0.8,0.9
3,102,401,156,72,72,-0.4,0.8,0.4,8.4,-0.8,1.7,1.4,1,1.1,8.3,16.6,0.1,-1,-0.5,-0.4,-0.2,0.4,1.3,25.2,0.7,-0.1,-0.2,-0.2,-5.2,0.9,-3.1,-0.9,-0.3,-0.4,0.8,0.9
1,77,373,150,12,26,0.4,0.8,1.6,22.7,0.1,1.2,1.8,0.5,0.2,-1.7,-0.6,-0.1,-1.1,0.1,0.3,0.7,0.1,0.8,10.5,0.1,-0.4,0.2,0.5,0.4,0.5,0.3,0,0.9,0.1,0.5,1.5
